usertype,zip_code_start,borough_start,neighborhood_start,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Subscriber,10002,Manhattan,Lower East Side,10001,Manhattan,Chelsea and Clinton,14/04/2020,14/04/2020,60.7,3.7,0,20,9
Subscriber,10002,Manhattan,Lower East Side,10022,Manhattan,Gramercy Park and Murray Hill,11/01/2019,11/01/2019,47.7,5.6,1.4,30,2
Subscriber,10002,Manhattan,Lower East Side,10013,Manhattan,Greenwich Village and Soho,18/07/2019,18/07/2019,73.4,3.6,0,0,4
Subscriber,10002,Manhattan,Lower East Side,10009,Manhattan,Lower East Side,18/06/2020,18/06/2020,66.8,3.3,0,30,1
Subscriber,10002,Manhattan,Lower East Side,10005,Manhattan,Lower Manhattan,25/08/2019,25/08/2019,74.3,1.9,0,10,27
Customer,10002,Manhattan,Lower East Side,10012,Manhattan,Greenwich Village and Soho,11/07/2020,11/07/2020,78.7,1.9,0,40,2
Customer,10002,Manhattan,Lower East Side,10013,Manhattan,Greenwich Village and Soho,21/04/2020,21/04/2020,56.3,5.2,1.49,30,1
Subscriber,10002,Manhattan,Lower East Side,11217,Brooklyn,Northwest Brooklyn,02/11/2020,02/11/2020,59.4,2.6,0,20,7
Subscriber,10002,Manhattan,Lower East Side,11205,Brooklyn,Northwest Brooklyn,11/09/2019,11/09/2019,73.9,4,0,20,6
Subscriber,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,11/12/2020,12/12/2020,55.2,3.1,0,1440,1
Customer,10002,Manhattan,Lower East Side,11201,Brooklyn,Northwest Brooklyn,14/11/2020,14/11/2020,46.4,8,0,90,2
Subscriber,10002,Manhattan,Lower East Side,10003,Manhattan,Lower East Side,15/04/2019,15/04/2019,58.5,6.9,0.07,20,9
Subscriber,10002,Manhattan,Lower East Side,10004,Manhattan,Lower Manhattan,23/11/2020,24/11/2020,39.8,5.6,0,20,1
Subscriber,10002,Manhattan,Lower East Side,10013,Manhattan,Greenwich Village and Soho,06/11/2019,06/11/2019,52,2.6,0.12,30,1
Subscriber,10002,Manhattan,Lower East Side,10009,Manhattan,Lower East Side,26/10/2019,27/10/2019,58.4,6.8,0.01,20,1
Subscriber,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,11/04/2020,11/04/2020,54.1,7.9,0,50,3
Subscriber,10002,Manhattan,Lower East Side,10036,Manhattan,Chelsea and Clinton,26/09/2020,26/09/2020,66.5,5.2,0,30,5
Subscriber,10002,Manhattan,Lower East Side,11201,Brooklyn,Northwest Brooklyn,11/06/2019,11/06/2019,67,6,0.02,30,5
Customer,10002,Manhattan,Lower East Side,10001,Manhattan,Chelsea and Clinton,25/07/2020,25/07/2020,78.2,2.5,0,20,2
Subscriber,10002,Manhattan,Lower East Side,11211,Brooklyn,Greenpoint,12/05/2019,12/05/2019,73.8,1.7,0.03,30,2
